dose,Z,LET,tum,at Risk,Prev,SD,NWeight,Beam
40,1,0.4,4,43,0.09302,0.044295,509.7,p
60,1,0.4,3,37,0.081081081,0.044874281,496.5980392,p
80,1,0.4,8,41,0.195121951,0.061890812,261.0643939,p
160,1,0.4,13,43,0.302325581,0.070037336,203.8641026,p
320,1,0.4,7,24,0.291666667,0.092780481,116.1680672,p
20,2,1.6,4,44,0.090909091,0.043339209,532.4,He
40,2,1.6,4,89,0.04494382,0.021961118,2073.438235,He
60,2,1.6,12,105,0.114285714,0.031049038,1037.298387,He
120,2,1.6,14,83,0.168674699,0.041102802,591.9120083,He
240,2,1.6,25,72,0.347222222,0.056107406,317.6578723,He
320,2,1.6,25,58,0.431034483,0.065025692,236.4993939,He
510,2,1.6,44,66,0.666666667,0.058025885,297,He
700,2,1.6,33,53,0.622641509,0.066582203,225.5712121,He
20,8,20,7,54,0.12962963,0.045709588,478.6139818,O
40,8,20,3,37,0.081081081,0.044874281,496.5980392,O
80,8,20,7,33,0.212121212,0.071164726,197.456044,O
5,10,25,7,64,0.109375,0.039013641,657.0025063,Ne
10,10,25,5,95,0.052631579,0.022909776,1905.277778,Ne
20,10,25,4,61,0.06557377,0.03169368,995.5307018,Ne
40,10,25,12,94,0.127659574,0.034419596,844.0894309,Ne
80,10,25,12,42,0.285714286,0.069707148,205.8,Ne
4,14,70,13,141,0.092198582,0.024363966,1684.628005,Si
8,14,70,16,122,0.131147541,0.030561395,1070.665094,Si
16,14,70,12,97,0.12371134,0.03343047,894.777451,Si
32,14,70,22,74,0.297297297,0.053133134,354.2167832,Si
40,14,70,4,7,0.571428571,0.187043906,28.58333333,Si
3,22,100,11,134,0.082089552,0.023713284,1778.347376,Ti
6.5,22,100,10,114,0.087719298,0.026494724,1424.561538,Ti
13,22,100,16,110,0.145454545,0.033615137,884.9734043,Ti
26,22,100,13,55,0.236363636,0.0572865,304.7161172,Ti
52,22,100,23,62,0.370967742,0.061349169,265.6945373,Ti
10,26,193,15,78,0.192307692,0.044624565,502.1714286,Fe
20,26,193,11,47,0.234042553,0.061759078,262.1792929,Fe
40,26,193,13,41,0.317073171,0.072673304,189.3434066,Fe
5,26,193,24,154,0.155844156,0.029227806,1170.597436,Fe
10,26,193,32,149,0.214765101,0.03364252,883.5333868,Fe
15,26,193,19,82,0.231707317,0.046593603,460.6248956,Fe
20,26,193,27,88,0.306818182,0.049161236,413.7656345,Fe
40,26,193,27,83,0.325301205,0.05142316,378.1660053,Fe
80,26,193,31,56,0.553571429,0.066430697,226.6012903,Fe
160,26,193,48,74,0.648648649,0.055495748,324.6987179,Fe
5,26,253,10,81,0.12345679,0.036551201,748.5084507,Fe
10,26,253,12,83,0.144578313,0.038601365,671.1115023,Fe
20,26,253,12,58,0.206896552,0.053189701,353.4637681,Fe
40,26,253,9,29,0.310344828,0.085909117,135.4944444,Fe
10,41,464,13,71,0.183098592,0.045898464,474.6830239,Nb
20,41,464,9,54,0.166666667,0.050715052,388.8,Nb
40,41,464,19,48,0.395833333,0.070585248,200.7114338,Nb
80,41,464,15,28,0.535714286,0.094249761,112.574359,Nb
20,57,953,4,26,0.153846154,0.070758939,199.7272727,La
40,57,953,5,39.5,0.126582,0.052905,357.27,La
80,57,953,5,15,0.333333333,0.121716124,67.5,La
